Job id            Name             User              Time Use S Queue
337595.mgmt1      W5-094           jwin1641                 0 Q compute         
337596.mgmt1      W5-095           jwin1641                 0 Q compute         
337597.mgmt1      W5-096           jwin1641                 0 Q compute         
337598.mgmt1      W5-097           jwin1641                 0 Q compute         
337599.mgmt1      W5-098           jwin1641                 0 Q compute         
337600.mgmt1      W5-099           jwin1641                 0 Q compute         
337601.mgmt1      W5-100           jwin1641                 0 Q compute         
337602.mgmt1      W5-101           jwin1641                 0 Q compute         
337603.mgmt1      W5-102           jwin1641                 0 Q compute         
337604.mgmt1      W5-103           jwin1641                 0 Q compute         
337605.mgmt1      W5-104           jwin1641                 0 Q compute         
337606.mgmt1      W5-105           jwin1641                 0 Q compute         
337607.mgmt1      W5-106           jwin1641                 0 Q compute         
337608.mgmt1      W5-107           jwin1641                 0 Q compute         
337609.mgmt1      W5-108           jwin1641                 0 Q compute         
337610.mgmt1      W5-109           jwin1641                 0 Q compute         
337611.mgmt1      W5-110           jwin1641                 0 Q compute         
337612.mgmt1      W5-111           jwin1641                 0 Q compute         
337613.mgmt1      W5-112           jwin1641                 0 Q compute         
337614.mgmt1      W5-113           jwin1641                 0 Q compute         
337615.mgmt1      W5-114           jwin1641                 0 Q compute         
337616.mgmt1      W5-115           jwin1641                 0 Q compute         
337617.mgmt1      W5-116           jwin1641                 0 Q compute         
337618.mgmt1      W5-117           jwin1641                 0 Q compute         
337619.mgmt1      W5-118           jwin1641                 0 Q compute         
337620.mgmt1      W5-119           jwin1641                 0 Q compute         
337621.mgmt1      W5-120           jwin1641                 0 Q compute         
337622.mgmt1      W5-121           jwin1641                 0 Q compute         
337623.mgmt1      W5-122           jwin1641                 0 Q compute         
337624.mgmt1      W5-123           jwin1641                 0 Q compute         
337625.mgmt1      W5-124           jwin1641                 0 Q compute         
337626.mgmt1      W5-125           jwin1641                 0 Q compute         
337627.mgmt1      W5-126           jwin1641                 0 Q compute         
337628.mgmt1      W5-127           jwin1641                 0 Q compute         
337629.mgmt1      W5-128           jwin1641                 0 Q compute         
337630.mgmt1      W5-129           jwin1641                 0 Q compute         
337631.mgmt1      W5-130           jwin1641                 0 Q compute         
337632.mgmt1      W5-131           jwin1641                 0 Q compute         
337633.mgmt1      W5-132           jwin1641                 0 Q compute         
337634.mgmt1      W5-133           jwin1641                 0 Q compute         
337635.mgmt1      W5-134           jwin1641                 0 Q compute         
337636.mgmt1      W5-135           jwin1641                 0 Q compute         
337637.mgmt1      W5-136           jwin1641                 0 Q compute         
337638.mgmt1      W5-137           jwin1641                 0 Q compute         
337639.mgmt1      W5-138           jwin1641                 0 Q compute         
337640.mgmt1      W5-139           jwin1641                 0 Q compute         
337641.mgmt1      W5-140           jwin1641                 0 Q compute         
337642.mgmt1      W5-141           jwin1641                 0 Q compute         
337643.mgmt1      W5-142           jwin1641                 0 Q compute         
337644.mgmt1      W5-143           jwin1641                 0 Q compute         
337645.mgmt1      W5-144           jwin1641                 0 Q compute         
337646.mgmt1      W5-145           jwin1641                 0 Q compute         
337647.mgmt1      W5-146           jwin1641                 0 Q compute         
337648.mgmt1      W5-147           jwin1641                 0 Q compute         
337649.mgmt1      W5-148           jwin1641                 0 Q compute         
337650.mgmt1      W5-149           jwin1641                 0 Q compute         
337651.mgmt1      W5-150           jwin1641                 0 Q compute         
337652.mgmt1      W5-151           jwin1641                 0 Q compute         
337653.mgmt1      W5-152           jwin1641                 0 Q compute         
337654.mgmt1      W5-153           jwin1641                 0 Q compute         
337655.mgmt1      W5-154           jwin1641                 0 Q compute         
337656.mgmt1      W5-155           jwin1641                 0 Q compute         
337657.mgmt1      W5-156           jwin1641                 0 Q compute         
337658.mgmt1      W5-157           jwin1641                 0 Q compute         
337659.mgmt1      W5-158           jwin1641                 0 Q compute         
337660.mgmt1      W5-159           jwin1641                 0 Q compute         
337661.mgmt1      W5-160           jwin1641                 0 Q compute         
337662.mgmt1      W5-161           jwin1641                 0 Q compute         
337663.mgmt1      W5-162           jwin1641                 0 Q compute         
337664.mgmt1      W5-163           jwin1641                 0 Q compute         
337665.mgmt1      W5-164           jwin1641                 0 Q compute         
337666.mgmt1      W5-165           jwin1641                 0 Q compute         
337667.mgmt1      W5-166           jwin1641                 0 Q compute         
337668.mgmt1      W5-167           jwin1641                 0 Q compute         
337669.mgmt1      W5-168           jwin1641                 0 Q compute         
337670.mgmt1      W5-169           jwin1641                 0 Q compute         
337671.mgmt1      W5-170           jwin1641                 0 Q compute         
337672.mgmt1      W5-171           jwin1641                 0 Q compute         
337673.mgmt1      W5-172           jwin1641                 0 Q compute         
337674.mgmt1      W5-173           jwin1641                 0 Q compute         
337675.mgmt1      W5-174           jwin1641                 0 Q compute         
337676.mgmt1      W5-175           jwin1641                 0 Q compute         
